id_comanda,id_taula,data_comanda,hora_comanda,nom_plat,categoria_plat,preu,quantitat,id_cambrer,valoracio
1,7,2024-01-05,13:22,Sopa de Ceba,primer plat,7.50,1,3,5
2,12,2024-01-08,20:15,Entrecot a la Brasa,segon plat,24.00,2,7,4
3,3,2024-01-11,14:05,Crema Catalana,postres,5.50,1,1,
4,18,2024-01-15,21:30,Agua Mineral,beguda,2.50,3,9,3
5,5,2024-01-19,13:45,Amanida Catalana,primer plat,9.00,1,2,5
6,9,2024-01-22,20:00,Lluç a la Romana,segon plat,16.50,2,5,4
7,14,2024-01-25,14:30,Tiramisú,postres,6.00,1,8,
8,2,2024-01-28,21:10,Vi Negre,beguda,14.00,1,4,5
9,11,2024-02-02,13:15,Croquetes de Pernil,primer plat,8.50,3,6,4
10,6,2024-02-06,20:45,Costelles de Xai,segon plat,22.00,1,3,
11,17,2024-02-09,14:20,Mousse de Xocolata,postres,5.00,2,10,5
12,4,2024-02-13,21:55,Refresc de Llimona,beguda,3.00,2,1,3
13,8,2024-02-17,13:00,Sopa de Ceba,primer plat,7.50,1,7,4
14,20,2024-02-20,20:30,Pollastre al Forn,segon plat,15.00,2,2,5
15,1,2024-02-24,14:50,Crema Catalana,postres,5.50,1,9,
16,13,2024-02-27,21:20,Cervesa Artesana,beguda,4.50,2,5,4
17,10,2024-03-03,13:35,Amanida Catalana,primer plat,9.00,2,4,5
18,7,2024-03-07,20:10,Rap amb Salsa Verda,segon plat,28.00,1,6,3
19,15,2024-03-11,15:00,Tiramisú,postres,6.00,3,3,
20,3,2024-03-14,21:40,Vi Blanc,beguda,12.00,1,8,5
21,19,2024-03-18,13:10,Croquetes de Pernil,primer plat,8.50,2,1,4
22,6,2024-03-21,20:55,Entrecot a la Brasa,segon plat,24.00,1,7,5
23,12,2024-03-25,14:15,Mousse de Xocolata,postres,5.00,1,2,3
24,2,2024-03-28,21:05,Agua Mineral,beguda,2.50,4,10,
25,16,2024-04-02,13:50,Sopa de Peix,primer plat,11.00,1,5,5
26,9,2024-04-05,20:25,Lluç a la Romana,segon plat,16.50,2,4,4
27,4,2024-04-09,14:40,Crema Catalana,postres,5.50,2,9,
28,18,2024-04-12,21:15,Refresc de Llimona,beguda,3.00,3,6,3
29,11,2024-04-16,13:25,Amanida Mixta,primer plat,8.00,1,3,5
30,5,2024-04-19,20:40,Costelles de Xai,segon plat,22.00,2,1,4
31,14,2024-04-23,15:10,Tiramisú,postres,6.00,1,7,5
32,8,2024-04-26,21:50,Cervesa Artesana,beguda,4.50,2,2,
33,20,2024-05-03,13:05,Croquetes de Pernil,primer plat,8.50,3,8,4
34,1,2024-05-07,20:20,Pollastre al Forn,segon plat,15.00,1,5,5
35,17,2024-05-11,14:35,Mousse de Xocolata,postres,5.00,2,4,3
36,6,2024-05-14,21:30,Vi Negre,beguda,14.00,1,10,
37,13,2024-05-18,13:40,Sopa de Ceba,primer plat,7.50,2,3,4
38,3,2024-05-21,20:05,Rap amb Salsa Verda,segon plat,28.00,1,6,5
39,10,2024-05-25,14:55,Crema Catalana,postres,5.50,1,1,
40,7,2024-05-28,21:45,Agua Mineral,beguda,2.50,2,9,4
41,15,2024-06-04,13:20,Amanida Catalana,primer plat,9.00,1,7,5
42,2,2024-06-07,20:35,Entrecot a la Brasa,segon plat,24.00,2,2,3
43,19,2024-06-11,15:05,Tiramisú,postres,6.00,1,5,
44,4,2024-06-14,21:00,Refresc de Llimona,beguda,3.00,3,8,4
45,8,2024-06-18,13:55,Sopa de Peix,primer plat,11.00,2,4,5
46,12,2024-06-21,20:15,Lluç a la Romana,segon plat,16.50,1,3,4
47,16,2024-06-25,14:25,Mousse de Xocolata,postres,5.00,2,10,
48,5,2024-06-28,21:35,Vi Blanc,beguda,12.00,1,1,3
49,11,2024-07-05,13:10,Amanida Mixta,primer plat,8.00,3,6,5
50,9,2024-07-09,20:50,Costelles de Xai,segon plat,22.00,1,7,4
51,20,2024-07-12,14:45,Crema Catalana,postres,5.50,1,2,
52,14,2024-07-16,21:20,Cervesa Artesana,beguda,4.50,2,9,5
53,1,2024-07-19,13:30,Croquetes de Pernil,primer plat,8.50,1,5,4
54,17,2024-07-23,20:00,Rap amb Salsa Verda,segon plat,28.00,2,4,3
55,6,2024-07-26,15:15,Tiramisú,postres,6.00,1,8,
56,3,2024-07-30,21:55,Vi Negre,beguda,14.00,1,3,4
57,10,2024-08-02,13:15,Sopa de Ceba,primer plat,7.50,2,6,5
58,13,2024-08-06,20:40,Pollastre al Forn,segon plat,15.00,3,1,4
59,7,2024-08-10,14:50,Mousse de Xocolata,postres,5.00,1,7,
60,2,2024-08-13,21:10,Refresc de Llimona,beguda,3.00,2,2,5
61,18,2024-08-17,13:00,Amanida Catalana,primer plat,9.00,1,10,3
62,4,2024-08-20,20:25,Entrecot a la Brasa,segon plat,24.00,2,5,4
63,15,2024-08-24,14:05,Crema Catalana,postres,5.50,2,9,5
64,8,2024-08-27,21:40,Agua Mineral,beguda,2.50,3,4,
65,19,2024-09-03,13:45,Sopa de Peix,primer plat,11.00,1,3,4
66,5,2024-09-07,20:10,Lluç a la Romana,segon plat,16.50,2,6,5
67,12,2024-09-11,15:20,Tiramisú,postres,6.00,1,1,3
68,16,2024-09-14,21:50,Cervesa Artesana,beguda,4.50,2,8,
69,11,2024-09-18,13:35,Croquetes de Pernil,primer plat,8.50,3,7,5
70,6,2024-09-21,20:55,Costelles de Xai,segon plat,22.00,1,2,4
71,1,2024-09-25,14:30,Mousse de Xocolata,postres,5.00,1,5,
72,20,2024-09-28,21:05,Vi Blanc,beguda,12.00,2,10,3
73,9,2024-10-04,13:20,Amanida Mixta,primer plat,8.00,1,4,5
74,3,2024-10-08,20:35,Rap amb Salsa Verda,segon plat,28.00,1,3,4
75,14,2024-10-11,14:55,Crema Catalana,postres,5.50,3,9,
76,7,2024-10-15,21:30,Vi Negre,beguda,14.00,1,6,5
77,17,2024-10-19,13:10,Sopa de Ceba,primer plat,7.50,2,1,4
78,2,2024-10-22,20:45,Pollastre al Forn,segon plat,15.00,1,7,3
79,10,2024-10-26,15:00,Tiramisú,postres,6.00,2,2,
80,4,2024-10-29,21:20,Refresc de Llimona,beguda,3.00,4,8,5
81,13,2024-11-05,13:55,Amanida Catalana,primer plat,9.00,1,5,4
82,8,2024-11-09,20:05,Entrecot a la Brasa,segon plat,24.00,2,4,5
83,18,2024-11-12,14:15,Mousse de Xocolata,postres,5.00,1,10,
84,15,2024-11-16,21:45,Agua Mineral,beguda,2.50,2,3,4
85,5,2024-11-19,13:25,Sopa de Peix,primer plat,11.00,2,6,5
86,19,2024-11-23,20:20,Lluç a la Romana,segon plat,16.50,1,9,3
87,11,2024-11-26,14:40,Crema Catalana,postres,5.50,1,1,
88,16,2024-11-30,21:00,Cervesa Artesana,beguda,4.50,3,7,4
89,6,2024-12-03,13:05,Croquetes de Pernil,primer plat,8.50,2,2,5
90,1,2024-12-07,20:30,Costelles de Xai,segon plat,22.00,1,5,4
91,12,2024-12-10,15:10,Tiramisú,postres,6.00,1,8,
92,9,2024-12-14,21:35,Vi Blanc,beguda,12.00,2,4,3
93,20,2024-12-17,13:50,Amanida Mixta,primer plat,8.00,3,3,5
94,7,2024-12-19,20:00,Rap amb Salsa Verda,segon plat,28.00,1,6,4
95,3,2024-12-21,14:20,Mousse de Xocolata,postres,5.00,2,10,
96,14,2024-12-23,21:15,Vi Negre,beguda,14.00,1,1,5
97,17,2024-12-25,13:40,Sopa de Ceba,primer plat,7.50,1,7,4
98,2,2024-12-27,20:50,Pollastre al Forn,segon plat,15.00,2,9,3
99,10,2024-12-29,14:00,Crema Catalana,postres,5.50,1,2,
100,4,2024-12-31,21:59,Cava Brut,beguda,9.50,5,5,5
